id,cancer_type,guideline_source,guideline_title,version_date,section_heading,chunk_index,page_start,page_end,chunk_text,token_count,url
bb1511ee-d285-4164-9d91-718f2fcfc734,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,2025,0,1,1,Inflammatory Breast Cancer,3,NCCN_pdf/inflammatory-breast-patient.pdf
7d3dfbb8-c932-4671-a79f-7a54cb03ff80,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,FOR PATIENTS,1,1,1,® Presented with support from,5,NCCN_pdf/inflammatory-breast-patient.pdf
f6b371ec-a385-4038-90d8-da8e59f4dcb5,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,FOUNDATION,2,1,1,Guiding Treatment. Changing Lives.,4,NCCN_pdf/inflammatory-breast-patient.pdf
dd84b612-231d-4b38-931e-3ad69b1a8655,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,NATIONAL COMPREHENSIVE CANCER NETWORK,3,1,4,"® Available online at NCCN.org/patientguidelines Ü 1 NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 Inflammatory Breast Cancer About the NCCN Guidelines for Patients® Did you know that top cancer centers across the United States work together to improve cancer care? This alliance of leading cancer centers is called the National Comprehensive Cancer Network® (NCCN®). Cancer care is always changing. NCCN develops evidence-based cancer care recommendations used by health care providers worldwide. These frequently updated recommendations are the NCCN Clinical Practice Guidelines in Oncology (NCCN Guidelines®). The NCCN Guidelines for Patients plainly explain these expert recommendations for people with cancer and caregivers. These NCCN Guidelines for Patients are based on the NCCN Clinical Practice Guidelines in Oncology (NCCN Guidelines®) for Breast Cancer, Version 3.2025 – March 18, 2025. Learn how the NCCN Guidelines for Patients are developed NCCN.org/patient-guidelines-process Find an NCCN Cancer Center near you NCCN.org/cancercenters View the NCCN Guidelines for Patients free online NCCN.org/patientguidelines Connect with us 2 NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 Inflammatory Breast Cancer Supporters To make a gift or learn more, visit online or email NCCNFoundation.org/Donate PatientGuidelines@ NCCN.org NCCN Foundation gratefully acknowledges the following corporate supporters for helping to make available these NCCN Guidelines for Patients: AstraZeneca and The Wawa Foundation. NCCN independently adapts, updates, and hosts the NCCN Guidelines for Patients. Our corporate supporters do not participate in the development of the NCCN Guidelines for Patients and are not responsible for the content and recommendations contained therein. NCCN Guidelines for Patients are supported by funding from the NCCN Foundation®",257,NCCN_pdf/inflammatory-breast-patient.pdf
8825c977-b52f-4690-9b02-c916d6bef6c7,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,FOUNDATION,4,4,4,Guiding Treatment. Changing Lives.,4,NCCN_pdf/inflammatory-breast-patient.pdf
580d9c18-75e6-48f3-9538-77fab15f3257,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,NATIONAL COMPREHENSIVE CANCER NETWORK,5,4,5,"® 3 NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 Inflammatory Breast Cancer Contents © 2025 National Comprehensive Cancer Network, Inc. All rights reserved. NCCN Guidelines for Patients and illustrations herein may not be reproduced in any form for any purpose without the express written permission of NCCN. No one, including doctors or patients, may use the NCCN Guidelines for Patients for any commercial purpose and may not claim, represent, or imply that the NCCN Guidelines for Patients that have been modified in any manner are derived from, based on, related to, or arise out of the NCCN Guidelines for Patients. The NCCN Guidelines are a work in progress that may be redefined as often as new significant data become available. NCCN makes no warranties of any kind whatsoever regarding its content, use, or application and disclaims any responsibility for its application or use in any way. NCCN Foundation seeks to support the millions of patients and their families affected by a cancer diagnosis by funding and distributing NCCN Guidelines for Patients. NCCN Foundation is also committed to advancing cancer treatment by funding the nation’s promising doctors at the center of innovation in cancer research. For more details and the full library of patient and caregiver resources, visit NCCN.org/patients. National Comprehensive Cancer Network (NCCN) and NCCN Foundation 3025 Chemical Road, Suite 100, Plymouth Meeting, PA 19462 USA 4 About inflammatory breast cancer 9 Testing for IBC",236,NCCN_pdf/inflammatory-breast-patient.pdf
6bfe2dd3-b812-463e-8aff-3e149d880977,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,24,6,5,5,Breast cancer staging,3,NCCN_pdf/inflammatory-breast-patient.pdf
ef15a863-2020-438d-8cbc-8192f5ba8830,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,30,7,5,5,Types of treatment,3,NCCN_pdf/inflammatory-breast-patient.pdf
6bd9895d-65e0-4e6d-87a1-29ac41c72afb,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,45,8,5,5,Supportive care,2,NCCN_pdf/inflammatory-breast-patient.pdf
e6f5389c-7efb-4a15-a111-85d888c222b8,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,51,9,5,5,Treatment before surgery,3,NCCN_pdf/inflammatory-breast-patient.pdf
